"Designator","Device","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Pins","Layer","Rotation","SMD","Comment","Name"
"Cbst","CC0805KRX7R8BB104","C0805","51.011mm","-21.748mm","51.011mm","-21.748mm","50.011mm","-21.748mm","2","T","0","Yes","100nF","100nF"
"Cff","CC0603JRNPO6BN101","C0603","42.672mm","-20.574mm","42.672mm","-20.574mm","42.672mm","-19.874mm","2","T","270","Yes","100pF","100pF"
"Cin","C2012X5R1V156MT000E","C0805","47.498mm","-16.383mm","47.498mm","-16.383mm","46.498mm","-16.383mm","2","T","0","Yes","15uF","15uF"
"R1","0603WAF5101T5E","R0603","29.337mm","-10.541mm","29.337mm","-10.541mm","29.337mm","-11.294mm","2","T","90","Yes","5.1kΩ","5.1kΩ"
"R2","0603WAF5101T5E","R0603","25.781mm","-10.541mm","25.781mm","-10.541mm","25.781mm","-11.294mm","2","T","90","Yes","5.1kΩ","5.1kΩ"
"R4","0603WAF5101T5E","R0603","23.622mm","-17.907mm","23.622mm","-17.907mm","24.375mm","-17.907mm","2","T","180","Yes","5.1kΩ","5.1kΩ"
"R5","0603WAF5101T5E","R0603","46.609mm","-49.657mm","46.609mm","-49.657mm","47.362mm","-49.657mm","2","T","180","Yes","5.1kΩ","5.1kΩ"
"R6","0603WAF220JT5E","R0603","17.803mm","-31.194mm","17.803mm","-31.194mm","17.803mm","-31.948mm","2","T","90","Yes","22Ω","22Ω"
"R7","0603WAF1002T5E","R0603","60.452mm","-23.876mm","60.452mm","-23.876mm","61.205mm","-23.876mm","2","T","180","Yes","10kΩ","10kΩ"
"R8","0603WAF4700T5E","R0603","6.223mm","-35.052mm","6.223mm","-35.052mm","6.976mm","-35.052mm","2","T","180","Yes","470Ω","470Ω"
"R9","0603WAF1003T5E","R0603","31.877mm","-11.303mm","31.877mm","-11.303mm","32.63mm","-11.303mm","2","T","180","Yes","100kΩ","100kΩ"
"R10","0603WAF6343T5E","R0603","15.24mm","-42.418mm","15.24mm","-42.418mm","14.487mm","-42.418mm","2","T","0","Yes","634kΩ","634kΩ"
"Rfbb","0603WAF1002T5E","R0603","44.28mm","-20.605mm","44.28mm","-20.605mm","44.28mm","-21.358mm","2","T","90","Yes","10kΩ","10kΩ"
"Rff","0603WAF2002T5E","R0603","41.529mm","-22.987mm","41.529mm","-22.987mm","42.282mm","-22.987mm","2","T","180","Yes","20kΩ","20kΩ"
"Rpg","0603WAF1003T5E","R0603","41.529mm","-24.638mm","41.529mm","-24.638mm","42.282mm","-24.638mm","2","T","180","Yes","100kΩ","100kΩ"
"LED6","XL-1608UGC-04","LED0603-RD_GREEN","60.579mm","-28.829mm","60.579mm","-28.829mm","61.378mm","-28.826mm","2","T","180","Yes","XL-1608UGC-04","XL-1608UGC-04"
"R18","FRC0603F1201TS","R0603","57.531mm","-28.829mm","57.531mm","-28.829mm","58.284mm","-28.829mm","2","T","180","Yes","1.2kΩ","1.2kΩ"
"R19","FRC0603F1201TS","R0603","34.671mm","-19.05mm","34.671mm","-19.05mm","35.424mm","-19.05mm","2","T","180","Yes","1.2kΩ","1.2kΩ"
"LED7","F.0603.00026/P2-0603B1TS2-06T-001","LED0603-RD","34.671mm","-20.701mm","34.671mm","-20.701mm","33.922mm","-20.701mm","2","T","0","Yes","F.0603.00026/P2-0603B1TS2-06T-001","F.0603.00026/P2-0603B1TS2-06T-001"
