"No.", "Quantity", "Comment"                          , "Designator"                         , "Footprint"                          , "Value" , "Manufacturer Part"                , "Manufacturer"           , "Supplier Part", "Supplier", "JLCPCB Price"
"30" , "1"       , "L2N7002SLLT1G"                    , "Q2"                                 , "SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR"  , ""      , "L2N7002SLLT1G"                    , "LRC(乐山无线电)"        , "C22446827"    , "LCSC"    , "0.001"
"31" , "1"       , "DMG3415U"                         , "Q3"                                 , "SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR-1", ""      , "DMG3415U"                         , "TECH PUBLIC(台舟)"      , "C7202986"     , "LCSC"    , "0.0085"
"32" , "4"       , "5.1kΩ"                            , "R1,R2,R4,R5"                        , "R0603"                              , "5.1kΩ" , "0603WAF5101T5E"                   , "UNI-ROYAL(厚声)"        , "C23186"       , "LCSC"    , "0.0004"
"33" , "1"       , "22Ω"                              , "R6"                                 , "R0603"                              , "22Ω"   , "0603WAF220JT5E"                   , "UNI-ROYAL(厚声)"        , "C23345"       , "LCSC"    , "0.0004"
"34" , "2"       , "10kΩ"                             , "R7,Rfbb"                            , "R0603"                              , "10kΩ"  , "0603WAF1002T5E"                   , "UNI-ROYAL(厚声)"        , "C25804"       , "LCSC"    , "0.0003"
"35" , "1"       , "470Ω"                             , "R8"                                 , "R0603"                              , "470Ω"  , "0603WAF4700T5E"                   , "UNI-ROYAL(厚声)"        , "C23179"       , "LCSC"    , "0.0003"
"36" , "3"       , "100kΩ"                            , "R9,R11,Rpg"                         , "R0603"                              , "100kΩ" , "0603WAF1003T5E"                   , "UNI-ROYAL(厚声)"        , "C25803"       , "LCSC"    , "0.0004"
"37" , "1"       , "634kΩ"                            , "R10"                                , "R0603"                              , "634kΩ" , "0603WAF6343T5E"                   , "UNI-ROYAL(厚声)"        , "C65831"       , "LCSC"    , "0.0002"
"38" , "1"       , "13.7kΩ"                           , "R12"                                , "R0603"                              , "13.7kΩ", "0603WAF1372T5E"                   , "UNI-ROYAL(厚声)"        , "C22793"       , "LCSC"    , "0.0004"
"39" , "5"       , "220Ω"                             , "R13,R14,R15,R16,R17"                , "R0603"                              , "220Ω"  , "FRC0603J221 TS"                   , "FOJAN(富捷)"            , "C2907127"     , "LCSC"    , "0.0003"
"40" , "2"       , "1.2kΩ"                            , "R18,R19"                            , "R0603"                              , "1.2kΩ" , "FRC0603F1201TS"                   , "FOJAN(富捷)"            , "C2906976"     , "LCSC"    , "0.0004"
"41" , "1"       , "73.2kΩ"                           , "Rfbt"                               , "R0805"                              , "73.2kΩ", "0805W8F7322T5E"                   , "UNI-ROYAL(厚声)"        , "C17814"       , "LCSC"    , "0.0004"
